"Bulletin","Region","Lat","Lon","MRSA"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Piedmont",45.2564901,6.6012108,"35.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Aosta Valley",45.7272929,7.040516,"41.1"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Lombardy",45.6518179,8.435073,"29.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","AP Bolzano",46.4892883,11.305958,"7.3"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","AP Trento",46.0804746,10.9644626,"24.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Veneto",45.7301202,10.5426991,"37.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Friuli-Venezia Giulia",46.11346,12.4604417,"25.1"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Liguria",44.2124269,7.4637219,"50.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Emilia-Romagna",44.4298739,9.6574873,"30.3"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Tuscany",43.3495951,9.709716,"28.7"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Umbria",42.9900108,11.918603,"32.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Marche",43.322943,11.7315879,"22.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Lazio",41.8062293,11.4191585,"51.0"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Abruzzo",42.2877212,13.2413182,"37.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Molise",41.7160373,13.8918531,"31.0"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Campania",40.7435368,13.4649019,"45.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Apulia",41.002651,15.4078679,"31.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Basilicata",40.5165326,15.4416405,"31.0"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Calabria",39.0245459,15.0986956,"33.3"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Sicily",37.1276581,11.1480278,"38.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Sardinia",40.0562432,7.6595306,"32.3"
