"Bulletin","Region","Lat","Lon","CREC"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Piedmont",45.2564901,6.6012108,"24.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Aosta Valley",45.7272929,7.040516,"25.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Lombardy",45.6518179,8.435073,"21.7"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","AP Bolzano",46.4892883,11.305958,"10.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","AP Trento",46.0804746,10.9644626,"21.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Veneto",45.7301202,10.5426991,"23.3"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Friuli-Venezia Giulia",46.11346,12.4604417,"11.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Liguria",44.2124269,7.4637219,"25.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Emilia-Romagna",44.4298739,9.6574873,"21.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Tuscany",43.3495951,9.709716,"25.1"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Umbria",42.9900108,11.918603,"27.7"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Marche",43.322943,11.7315879,"22.0"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Lazio",41.8062293,11.4191585,"31.8"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Abruzzo",42.2877212,13.2413182,"29.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Molise",41.7160373,13.8918531,"42.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Campania",40.7435368,13.4649019,"38.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Apulia",41.002651,15.4078679,"34.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Basilicata",40.5165326,15.4416405,"35.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Calabria",39.0245459,15.0986956,"39.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Sicily",37.1276581,11.1480278,"35.1"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Sardinia",40.0562432,7.6595306,"15.6"
